Rock_Type,Porosity,Permeability,Trap_Type,Seismic_Score,Proximity_to_Oil_Field,Estimated_Reservoir_Depth
Shale,27.97919081,696.1065125,Fault,0.821291785,0.454798594,4698
Shale,12.67968101,250.626334,,0.409981319,0.064520985,4950
Limestone,22.36884998,757.126724,Fault,0.026066607,3.964584484,617
Shale,11.61738145,589.7869963,Fault,0.755388077,3.574409717,3283
Shale,7.207877535,882.6667651,Dome,0.707518371,1.199159611,2687
Sandstone,27.69506135,621.5789445,Anticline,0.885899624,3.545387851,4015
Sandstone,15.47029653,906.2029716,,0.009544293,3.492889644,674
Shale,9.214369443,532.4237431,Anticline,0.952792827,3.086331436,958
Shale,19.7998035,847.6531198,Anticline,0.572617245,4.766316684,2716
Sandstone,5.502709305,656.815046,Anticline,0.815621031,4.400181841,4371
Limestone,25.5998765,563.0783563,Dome,0.788771716,2.795691344,4887
Shale,20.85775202,57.3218131,Anticline,0.182109262,4.669093145,3969
Shale,3.876714003,769.6263811,Dome,0.496999699,2.79348482,2571
Sandstone,25.51288463,619.0580324,Fault,0.281603749,1.051668511,1836
Sandstone,2.910546547,894.4886933,Anticline,0.498751541,2.272500059,2386
Limestone,8.153595482,247.7162609,,0.408234621,3.616379702,2712
Sandstone,7.891085326,913.2714195,,0.982880292,2.155077445,704
Limestone,25.82003465,625.5918416,Dome,0.452188105,4.444491481,2252
Limestone,24.79956172,850.1376056,Anticline,0.369755389,0.028227253,2010
Shale,3.698517824,837.9196879,Anticline,0.426085264,1.064894591,2997
Limestone,10.0918117,73.98558739,Fault,0.256216932,4.985296001,1850
Limestone,9.295969482,31.53779898,Dome,0.534219098,3.735173202,3308
Sandstone,18.81942411,709.0127822,,0.737084358,2.099127225,4318
Sandstone,2.770375168,618.0017622,Fault,0.880056673,1.913981737,3661
Sandstone,6.75719707,937.0726898,Dome,0.515084943,4.525445553,1100
Sandstone,5.977378632,952.6894887,Anticline,0.324720228,3.137170752,4407
Limestone,11.94683382,298.896683,Anticline,0.162369225,2.615339787,4185
Shale,9.547861242,420.4505014,Dome,0.861040935,1.956570217,2630
Limestone,22.74801876,27.65008585,Anticline,0.604240964,3.272082619,1850
Limestone,15.22169295,211.3686113,,0.56552353,3.233856444,738
Limestone,14.97559353,867.6897302,,0.675387924,3.428610531,2546
Sandstone,16.06112618,617.1073886,Dome,0.84786129,1.50128881,2687
Shale,15.00101747,343.672461,Anticline,0.230648474,4.116745802,943
Sandstone,22.26067356,187.9650404,Anticline,0.796750717,2.169869616,2551
Shale,25.55907761,683.652945,Fault,0.406740554,4.08990425,1154
Shale,18.51656418,969.3918838,Anticline,0.995863875,0.278626104,1367
Sandstone,5.116141467,963.5860498,,0.593567757,2.294259088,621
Shale,3.132461085,836.0736726,Dome,0.004360503,2.042225862,1310
Limestone,25.69837009,598.2870514,Fault,0.557247612,1.653233709,4305
Shale,14.0580543,768.3059118,Fault,0.452871585,0.946822238,2955
Shale,29.26351572,570.8058241,Dome,0.530293153,0.18628095,2853
Limestone,28.00741368,807.0924486,Anticline,0.083627663,3.719518815,2202
Shale,13.4035103,19.85338234,,0.793757653,2.612944355,2775
Sandstone,3.597655768,460.9663955,Dome,0.250611986,3.134941998,4120
Limestone,14.9869939,247.2747745,Anticline,0.779181006,1.932129299,2897
Limestone,3.507706066,253.9542742,,0.658425544,3.144414793,2314
Shale,4.541135138,154.2641618,Anticline,0.731234145,1.752439113,3115
Shale,7.103927564,707.5606507,,0.342734027,0.397585923,3905
Sandstone,16.96810583,283.0837015,,0.872063069,0.620412928,4722
Sandstone,29.89194881,172.5291357,,0.229321241,2.458305628,4261
Sandstone,27.17550576,688.4222889,Fault,0.81319204,4.710820307,4167
Sandstone,10.14692902,639.9775075,,0.845098655,3.950835686,3095
Limestone,27.53317957,49.50187678,Anticline,0.506569312,4.004791578,3488
Sandstone,26.14757649,169.0453887,,0.318031184,0.422320824,3657
Limestone,24.8815545,952.7127627,Anticline,0.98607187,1.622327456,4650
Shale,23.44897674,999.4968541,,0.477524036,2.380967318,4702
Sandstone,18.11552948,488.5501861,Anticline,0.778265745,2.922073124,4880
Limestone,3.547151774,868.0964822,Dome,0.131914658,1.478932712,2858
Limestone,11.44246031,433.9794311,Fault,0.745810244,4.936477121,1780
Limestone,7.068685536,603.4008366,,0.292988537,0.620217496,3394
Limestone,3.896964136,530.0488381,Anticline,0.056111479,3.208487282,598
Shale,8.970380388,435.6558358,Dome,0.643535478,4.785108049,4502
Shale,0.776882107,525.0609935,,0.039359391,1.050528211,849
Shale,24.61280461,735.2479887,Fault,0.405256781,3.708387298,3471
Limestone,8.674101553,259.9662617,Dome,0.234079059,2.187291136,2989
Shale,15.78247555,778.7852837,,0.091492697,4.067094582,801
Limestone,2.460322236,217.7262822,Fault,0.716222825,0.4012906,1744
Limestone,1.120588093,74.79654749,Anticline,0.386715327,3.532419941,2795
Limestone,7.919265591,716.6526861,,0.221229062,1.342630678,1586
Sandstone,21.01364596,297.2129906,,0.201619899,1.175715214,1701
Limestone,24.64948002,113.4419529,Fault,0.288660061,1.330560581,2653
Shale,21.82587691,951.8137506,Anticline,0.65048335,2.140513855,4083
Sandstone,19.87451841,127.5860225,Anticline,0.245937214,1.708715174,4420
Shale,22.21134891,205.250926,Anticline,0.38374057,2.947104031,2645
Sandstone,1.335271178,887.2815196,Fault,0.902878001,4.91037755,1091
Sandstone,21.81805411,312.3394495,Dome,0.871708911,4.206733319,1310
Sandstone,18.54872396,750.3423204,Anticline,0.521851944,4.870619432,2886
Sandstone,21.43379052,789.9385335,,0.594877009,1.060986278,1192
Sandstone,16.0490002,70.82192008,Dome,0.631577841,1.443260242,801
Shale,25.98551127,714.357105,,0.578598491,4.986881763,4667
Sandstone,2.753328194,460.3912298,,0.416753112,0.663452908,542
Sandstone,20.94521582,756.9350815,Dome,0.920183403,0.641122546,2488
Shale,14.97728723,374.379667,,0.859166862,3.882912305,1545
Limestone,21.65930885,206.3993141,Dome,0.138789634,2.237912465,4322
Sandstone,9.135695675,552.1035935,,0.566212244,0.724705338,4029
Sandstone,3.403224513,379.5082032,,0.639702062,4.076810017,3308
Limestone,26.24963064,176.4491565,,0.306350308,4.78118501,2098
Sandstone,3.187977144,358.019027,,0.866943496,4.689895607,901
Sandstone,7.743117875,879.2311137,Dome,0.283603027,1.560656117,4990
Shale,16.34946834,524.9249451,Fault,0.147030009,2.198076253,1991
Limestone,16.377706,166.0078265,,0.278053556,0.67404501,3652
Sandstone,2.458972039,416.9331493,Dome,0.291903591,3.519714709,2105
Limestone,8.941727154,951.5122161,Anticline,0.84779309,2.636397559,1308
Sandstone,19.5033967,547.3693765,,0.599829604,1.329859719,3078
Shale,8.151225566,621.4530144,Anticline,0.057852491,0.557617323,4052
Shale,17.44361844,883.0925243,Anticline,0.611163363,1.979417828,1846
Limestone,24.60830579,382.1943431,Dome,0.588551815,2.531923889,1326
Sandstone,9.421314208,235.0707942,Anticline,0.317499288,3.468001114,1075
Limestone,23.52839445,155.1100068,,0.291352405,4.593454633,801
Shale,5.081894989,618.1974645,Dome,0.531503985,1.711757508,4537
Limestone,26.27055383,948.361071,Fault,0.949976274,3.717499321,4561
Sandstone,20.26597106,6.657337525,Dome,0.948896803,3.913121671,2120
Sandstone,4.132022967,357.026048,Fault,0.324603203,3.552553248,1570
Sandstone,18.92553116,411.7498049,Anticline,0.075128442,0.998756988,4979
Sandstone,7.76115211,761.2993236,Dome,0.980611201,1.364357254,1495
Sandstone,5.970338832,352.2833384,Dome,9.30E-06,1.692168621,3563
Shale,23.82547036,287.5258121,Anticline,0.206022,0.81159931,2543
Sandstone,7.692390831,968.7227588,Dome,0.343023773,2.890460604,2565
Shale,13.33322873,223.0687628,Dome,0.445725885,4.104645959,2653
Shale,3.642447165,519.7075174,Fault,0.246363152,3.174734148,2996
Shale,2.697487346,702.2452529,Anticline,0.737765513,4.236291558,4614
Sandstone,22.1640415,882.7661151,,0.401996137,3.787071395,638
Sandstone,14.98645006,599.5195661,Dome,0.096110331,0.99850208,2781
Shale,9.842090535,529.7158119,,0.729845089,4.082064774,2054
Sandstone,3.192352887,295.9653695,,0.035622866,4.57366212,3594
Limestone,24.50670869,184.6893675,Fault,0.485761121,2.671899077,668
Limestone,2.866773119,164.9835928,Dome,0.244365491,0.704966992,4841
Limestone,5.717281396,338.8053947,Anticline,0.3153049,4.008183898,4841
Shale,2.301684806,876.8075292,Dome,0.744926225,1.755374528,748
Limestone,19.42549395,121.6587429,Fault,0.638955664,1.21138097,4742
Shale,29.47171664,388.1098812,Anticline,0.064852985,1.243922719,4445
Shale,19.00235221,351.5711729,Dome,0.214846012,2.811190964,2951
Limestone,9.043891784,150.6882961,Dome,0.141141801,2.233338622,3983
Sandstone,23.43770861,372.8147102,Dome,0.329995804,2.750609102,3762
Shale,16.06103824,394.5838511,,0.768500107,4.908192156,796
Shale,28.06134484,396.839289,,0.530221987,4.672936407,1735
Sandstone,28.02809374,721.4839198,Dome,0.583600773,0.884322375,1901
Sandstone,15.07890347,400.8345189,,0.794059132,4.201683264,2733
Shale,4.962604564,744.8123002,Fault,0.138453854,1.718109981,2580
Shale,5.684704377,721.3000183,Fault,0.498994154,4.38244642,2033
Limestone,18.23056923,997.5506735,,0.552751833,3.275521825,2924
Shale,1.717100806,193.6099919,,0.973923879,4.6739736,4495
Shale,4.128892032,11.68129812,,0.577871677,2.283085167,1720
Sandstone,7.96672794,90.52411027,,0.272828385,0.973425032,2101
Limestone,14.91722544,791.4130493,,0.59784221,1.883375737,1883
Shale,21.9052036,283.114713,,0.621726615,3.145151657,1840
Shale,21.52118322,105.3685128,Dome,0.337505578,1.342888299,1100
Limestone,25.51534956,177.6248648,,0.137052038,1.741126842,1233
Sandstone,22.16230529,749.4870943,Fault,0.69968642,3.573993039,3302
Limestone,11.70977338,759.1533366,,0.285806926,1.891025668,883
Sandstone,9.858130184,34.22135261,Dome,0.246495587,4.138810818,3455
Shale,22.2169417,36.54656365,Anticline,0.567163559,0.047905075,1806
Limestone,19.32770171,843.5299474,Anticline,0.080723305,1.985341136,4074
Limestone,10.81126477,45.04812418,,0.695430521,3.856183333,1294
Limestone,13.05692154,542.3280731,Fault,0.435532442,0.747819677,586
Shale,14.75603466,823.6273574,,0.800677436,2.516158869,1359
Shale,23.89934607,53.97274526,,0.45660382,0.057125937,2693
Shale,9.783235575,141.6375617,Dome,0.809478584,2.425140975,2339
Limestone,5.495947354,385.565933,,0.72398675,2.125895035,1472
Sandstone,22.200534,705.7287509,Fault,0.025479434,0.122908069,3742
Shale,3.500673598,594.277934,Anticline,0.515468569,3.587385838,1118
Shale,22.04551561,801.856105,Anticline,0.864338683,1.550998198,2381
Limestone,28.86587629,877.6017167,Anticline,0.494633863,0.221948521,865
Sandstone,4.112683742,71.0479277,Dome,0.373304978,0.710110221,2399
Shale,17.4805844,770.2222889,Fault,0.952101536,4.970646907,3423
Sandstone,25.4544663,361.5057354,Anticline,0.033386183,4.051079181,4900
Limestone,13.09258796,65.47134796,Anticline,0.737248789,1.67924934,4525
Limestone,8.089031977,432.2657482,Anticline,0.600225411,0.059899148,2851
Limestone,20.89087298,613.1877716,Anticline,0.981503689,3.45470947,2323
Sandstone,28.86902247,835.7595684,Fault,0.152283952,4.736462195,3916
Sandstone,29.26419085,555.3120501,Anticline,0.730010989,2.007544502,1049
Limestone,28.81705609,200.816245,Fault,0.625159807,1.146678176,1205
Sandstone,2.450392946,482.0579082,Fault,0.083476105,3.94853837,4334
Sandstone,3.824570404,624.2650542,Anticline,0.353436554,1.041987401,3229
Shale,4.000334019,700.5144442,Anticline,0.294962416,0.321620973,2065
Sandstone,26.04507886,645.0276138,Dome,0.103935323,3.737584484,4694
Sandstone,8.852170478,197.736554,Anticline,0.402326257,2.880858933,2942
Limestone,29.34992423,225.2483966,Fault,0.888756719,1.588717524,2285
Sandstone,1.663357071,50.75806971,Fault,0.459172942,0.236719323,947
Shale,7.65697303,303.1653592,Fault,0.657012157,4.765002991,3104
Sandstone,11.96464581,415.3179037,,0.306893182,0.700715359,2790
Shale,23.21402246,371.8210439,Fault,0.245926595,1.769411556,4023
Sandstone,28.11326835,560.2649641,Anticline,0.621134451,1.66104587,1380
Limestone,29.72958508,336.7002945,,0.660556045,0.759276391,2484
Shale,23.79189085,359.8026625,,0.964998058,0.583831799,2638
Shale,24.33261739,582.4055334,Fault,0.361434815,0.168755294,2627
Sandstone,11.38798069,131.1980362,Dome,0.078855562,0.396330888,3914
Sandstone,8.577016013,87.77604508,Dome,0.571008369,4.651499077,1061
Shale,23.759791,713.7484864,Dome,0.655181814,3.093690706,2015
Sandstone,19.16017908,189.4836189,Fault,0.767153102,0.307543706,2851
Limestone,15.05520728,748.306015,Fault,0.103152661,1.770380258,4344
Sandstone,20.92343484,885.6383149,Anticline,0.333116558,4.26142034,1482
Sandstone,13.10864583,944.9911093,,0.26451741,4.629452769,2178
Shale,28.45560983,643.109162,Fault,0.917295597,0.674666715,4365
Sandstone,6.719476376,62.23749565,Dome,0.417562619,4.435302809,915
Limestone,17.47706728,678.0827339,Anticline,0.168636112,1.915750015,1415
Limestone,20.12594661,759.3472919,Dome,0.794505848,3.709247087,3196
Sandstone,23.52618523,734.3394575,Fault,0.784732413,4.322538804,1406
Limestone,26.33935147,197.0909129,Anticline,0.113655969,1.33111597,2078
Shale,6.296928888,996.4540546,Fault,0.7200516,1.947258315,2489
Sandstone,19.58848974,533.1789104,Dome,0.356575499,3.604728368,2067
Limestone,9.231084402,726.8591801,Fault,0.168559672,0.839407142,2110
Shale,13.41481514,445.1806148,Dome,0.902798519,1.68538745,2531
Shale,9.482330515,832.4057036,Anticline,0.190125898,2.873881228,4206
Sandstone,13.37336243,812.0463647,Fault,0.304861191,2.852427772,4502
Sandstone,16.79981014,129.2322523,,0.829404355,4.541162481,1991
Sandstone,13.50192511,580.7518581,Dome,0.327981559,2.895983067,4067
Limestone,14.72083038,861.953361,Fault,0.181822161,2.934725722,641
Sandstone,1.916393023,837.4928238,Anticline,0.951733109,0.918546927,4256
Sandstone,10.8118212,801.9456694,Dome,0.495244434,2.458386465,511
Sandstone,7.841919497,645.3863032,Anticline,0.918755677,2.581368114,2788
Limestone,25.91864466,2.313318797,,0.092401433,4.050945476,1917
Sandstone,14.07855682,543.3834627,Anticline,0.111727827,3.852735224,4931
Sandstone,0.459317599,931.8938973,,0.337086841,1.591876116,4621
Shale,20.95013914,254.781363,Dome,0.470212121,2.446655401,2422
Limestone,28.21491596,740.0101974,Dome,0.175943277,2.36670111,3903
Limestone,26.24691704,665.8074922,,0.278153917,2.606354751,3131
Shale,23.68228266,264.2436464,,0.622084506,3.899606583,4201
Shale,23.37016182,583.3699964,Dome,0.639644944,3.340719623,2776
Shale,27.6188441,739.7707229,Dome,0.002011264,0.483259698,4392
Limestone,10.42521247,884.191221,Anticline,0.608315366,1.278507203,1102
Limestone,9.450311171,765.8392134,Fault,0.832796674,4.140750021,2729
Limestone,29.43544676,64.0315865,Anticline,0.931600126,0.553052807,852
Shale,17.39193498,534.8511787,Anticline,0.876921007,1.47121788,4914
Sandstone,12.42981042,444.3689282,Fault,0.348127525,1.37794784,834
Limestone,15.5101885,282.9463675,Dome,0.608403228,0.891496404,4130
Limestone,25.0328736,349.3511093,Anticline,0.268271344,0.208315002,1557
Sandstone,9.770544062,602.5666006,,0.647554778,2.024963855,2890
Shale,0.721237121,227.922597,,0.61007944,2.357149243,996
Shale,29.46405553,572.0173264,Anticline,0.311020147,1.002892746,4854
Shale,6.224083142,214.0009815,Anticline,0.340550711,2.203413836,3883
Sandstone,20.86873957,594.3466803,Dome,0.860120441,4.337921765,3268
Shale,17.945625,75.32322675,Dome,0.553591609,0.167380323,853
Sandstone,22.16791366,248.3712683,,0.931305646,4.437412585,2035
Shale,7.88009206,987.9873457,Anticline,0.5357598,3.558062014,2954
Sandstone,9.747683832,149.5238911,,0.624635559,3.077384451,4305
Limestone,19.31159419,550.4887023,,0.930807654,3.874299518,4953
Sandstone,9.62199277,907.0673188,Dome,0.361453658,2.725241982,4164
Shale,28.4760208,279.1868256,Anticline,0.050417006,4.179605431,1180
Sandstone,25.6665337,80.56196468,Dome,0.386490106,4.585121262,3874
Shale,9.730374231,830.8589156,Fault,0.5057833,3.633745661,1327
Shale,5.797482457,835.8858751,Fault,0.150024179,1.228773857,812
Shale,18.70557586,990.3840551,,0.89746315,3.016587234,2018
Shale,6.590464001,830.1275516,,0.761449421,2.611427402,3908
Sandstone,26.66527535,530.6633609,Anticline,0.618315302,4.48250594,2152
Sandstone,24.01608315,591.8387287,,0.084755313,4.088181679,1029
Sandstone,12.1564537,101.3007422,Dome,0.439002217,4.720917681,1161
Shale,15.34915748,178.842304,Fault,0.155433304,0.890642539,4303
Limestone,10.45807408,682.1910706,Anticline,0.901392749,3.162189074,3086
Limestone,21.85911067,949.9490848,Anticline,0.543153124,4.455885396,2375
Limestone,25.90397191,24.12362514,Fault,0.097281368,1.597136793,4782
Limestone,24.0505288,947.5863169,,0.507285755,2.381526343,4335
Shale,2.669691446,823.8355917,Anticline,0.698580271,2.85196067,2326
Shale,25.5883261,787.1737663,Anticline,0.275592617,2.9408997,3434
Shale,26.01239991,821.5081209,Fault,0.523565378,0.958246128,3600
Sandstone,4.980654709,392.2839209,Dome,0.163467938,4.176972891,1691
Shale,12.58444455,544.2546963,,0.640948191,4.63955795,1740
Limestone,26.66257451,181.4156117,,0.091555727,3.086388446,4267
Sandstone,20.34341493,506.5770126,,0.545317673,2.623377315,2961
Limestone,16.09576825,917.6004506,Fault,0.20022394,2.648829927,3814
Shale,11.15180954,410.7536055,,0.255256019,4.900701442,589
Limestone,3.915136789,584.3059335,Dome,0.65122952,0.90658738,1777
Shale,28.21257622,999.3169519,,0.351392889,3.877742254,2210
Limestone,21.26397795,275.1775982,Dome,0.870542463,0.966536394,2106
Shale,18.30588027,829.6928929,Dome,0.859018154,4.007004346,1547
Limestone,13.32551844,958.6067693,,0.18111205,1.192061259,1017
Sandstone,9.365891047,166.8212344,Fault,0.105906336,2.186143158,3467
Sandstone,20.5501826,772.3801792,,0.141036011,3.840301423,2730
Sandstone,23.01512155,602.2494713,Anticline,0.839068575,2.518629065,3947
Sandstone,9.444151768,604.2435178,Fault,0.683319576,4.90243421,957
Shale,11.41445656,363.0689798,Dome,0.711505827,0.90118304,1343
Limestone,21.46143052,719.3143055,Dome,0.614917242,0.115937008,778
Sandstone,13.2451177,593.3955003,Dome,0.010427227,0.555956888,3414
Shale,8.93864794,808.1239127,Dome,0.62946441,1.125486252,4505
Shale,13.39063738,922.7531527,Anticline,0.407647155,2.799168624,1442
Limestone,3.99980449,346.8289022,,0.575938167,3.170233837,2089
Shale,18.59905695,825.4959636,Fault,0.703585059,2.107280232,3740
Sandstone,6.977042228,966.130967,Anticline,0.001029316,2.296982896,1578
Shale,10.2132324,929.4191762,Anticline,0.956407087,0.02683529,3106
Limestone,14.975095,431.3303972,Anticline,0.484541731,1.826955062,4378
Sandstone,2.431786916,16.70086644,Fault,0.295543211,1.294865925,2250
Sandstone,28.58503168,252.9478506,Anticline,0.471935053,2.309670364,3046
Shale,5.162580974,668.8201324,Fault,0.599461676,0.834036601,2622
Limestone,0.33040075,407.9474568,Anticline,0.873689363,0.771003856,1182
Shale,22.15053831,228.3829681,Fault,0.530093063,2.462258524,4127
Shale,19.10464393,37.74101494,Anticline,0.909260708,3.247449571,2730
Shale,12.77992558,712.4760055,Fault,0.822716214,1.442209761,3398
Sandstone,5.326737591,333.3149877,Fault,0.311938882,3.346292715,4810
Sandstone,11.29590863,467.7741031,Dome,0.159025131,1.934948934,3851
Limestone,5.224700772,463.100745,Dome,0.189456453,3.820008477,4058
Shale,15.83286196,82.77964441,Dome,0.360486722,1.629403434,811
Sandstone,29.80734518,782.3079246,Fault,0.815205281,3.720213409,2775
Limestone,16.42219218,625.108119,Anticline,0.156196479,4.077468616,4424
Limestone,28.10173668,485.5869136,,0.004640825,1.270138463,3823
Limestone,11.72080611,671.2879421,,0.777289483,4.750338116,4659
Shale,24.4082644,567.3789116,Dome,0.978248352,0.548555844,3422
Limestone,1.363575013,479.4915909,Dome,0.393492671,3.355470321,2213
Limestone,23.45061293,860.8281617,Anticline,0.211092472,4.855744394,3426
Limestone,1.713514901,710.1951407,Dome,0.010566872,4.60180157,738
Limestone,4.908252625,868.6358862,Anticline,0.006377169,2.572767734,2379
Sandstone,10.40887979,566.7298476,Dome,0.688730358,1.647128433,2237
Limestone,1.684860297,275.5154742,Dome,0.474546426,2.178325104,2069
Limestone,15.41111597,678.3170425,Fault,0.134859905,3.18408588,4197
Shale,27.52634684,706.506773,Fault,0.844890068,3.223509494,4909
Limestone,16.84315134,127.5949493,,0.66983523,1.432764143,4245
Sandstone,8.335354896,701.1171447,Fault,0.373840086,1.081282396,1479
Limestone,14.16745497,790.3762205,Dome,0.815408641,2.347511161,1927
Sandstone,23.20658226,973.8067205,,0.647442122,2.93357842,1514
Sandstone,3.447190301,907.7742633,,0.351454769,0.537635219,4838
Shale,23.59449103,345.1694916,Fault,0.936086736,1.072421837,4674
Shale,25.16663697,394.8521285,Dome,0.914509043,3.402356945,4179
Sandstone,0.514493457,378.8956198,,0.6195871,1.92456886,3094
Sandstone,3.167951881,83.83460319,Fault,0.78604321,2.689061823,2214
Sandstone,18.46472879,172.5594317,Fault,0.787456543,2.199434194,3571
Shale,29.75318643,315.266965,Fault,0.256744087,1.386937511,3201
Sandstone,22.69617502,620.4115761,,0.913226228,0.628552723,4061
Shale,28.40527655,220.5395547,Anticline,0.965977002,4.611256352,3092
Limestone,20.5552354,669.2847564,Anticline,0.83045959,4.353472511,4852
Shale,18.14405286,187.5905293,Fault,0.825825191,2.052349892,3849
Shale,2.297047753,783.5533552,Fault,0.369702722,1.534908247,2698
Sandstone,22.12118916,39.26915937,Anticline,0.951042972,2.052914408,4592
Limestone,29.25539928,625.5209456,Fault,0.777890142,2.850467848,2109
Shale,14.33226379,528.0361576,,0.540709955,0.464866567,2024
Shale,11.75994132,680.3055246,Anticline,0.372411144,1.245483259,3419
Sandstone,1.917028261,290.8021727,Dome,0.37618179,0.344548478,3358
Sandstone,11.70863726,870.8555803,,0.817531105,0.180205376,1751
Shale,2.279805189,497.2094236,Dome,0.143152623,4.783956865,4442
Sandstone,27.96968275,367.4390793,Fault,0.152270686,1.04664145,4781
Limestone,21.99459069,131.7326624,,0.107511413,0.331494902,4213
Limestone,9.703285653,890.8548463,Dome,0.967662276,4.10226969,4669
Limestone,16.75056945,18.8159564,Dome,0.287265831,3.330987466,4279
Sandstone,2.230038267,613.8320271,Fault,0.743278259,3.169691801,1261
Sandstone,2.85120722,325.6669034,Fault,0.466638364,4.894927428,4601
Sandstone,17.47202895,966.3521734,Anticline,0.566222345,4.99451684,3025
Limestone,4.876836178,496.2380615,Dome,0.172392923,3.011387402,1033
Shale,13.5625979,772.4869055,Dome,0.74860166,4.498463101,2306
Shale,8.380184558,211.3286077,Dome,0.304074589,1.875538517,887
Sandstone,17.98075761,254.4754703,Dome,0.113334085,3.561807075,3303
Sandstone,13.58733211,611.7456561,Dome,0.310791913,3.894486488,4322
Sandstone,26.82021594,819.661241,Dome,0.678601923,2.357335386,2477
Shale,20.0019459,470.6258625,,0.20249905,2.415137076,1854
Sandstone,23.72549033,508.1404379,Anticline,0.816413424,1.117863018,2843
Shale,6.938397849,994.5312226,Fault,0.563551581,2.210385367,1928
Shale,14.81547587,271.1636859,Fault,0.392110669,1.496183487,1510
Limestone,9.18803661,936.4106005,Dome,0.048025388,3.125607419,1966
Limestone,14.00634297,726.4559528,Fault,0.05235445,1.686502489,4881
Limestone,0.615624442,153.0224273,Dome,0.769465994,1.713313318,3367
Limestone,23.17548858,553.9367799,Dome,0.012115706,0.953748956,2233
Shale,26.59105941,279.2039736,,0.333516324,0.178507144,638
Limestone,20.5618603,23.52667231,,0.584218621,4.384507339,898
Sandstone,6.602701981,613.9143563,Fault,0.805573453,4.250956409,3697
Sandstone,9.646254972,119.5538196,Fault,0.779641822,0.501834023,1305
Shale,8.08079102,244.9602687,Fault,0.023705243,0.854694641,4355
Shale,7.495613882,811.8722158,Anticline,0.171364365,1.430088514,4051
Limestone,14.03941387,502.6598488,Dome,0.957542557,0.282071533,3279
Sandstone,6.217268993,111.8838191,Fault,0.169586001,0.583624202,4878
Shale,27.75141526,911.9606124,Dome,0.945853537,1.295540034,2693
Limestone,10.11932862,617.2000675,Fault,0.581748418,0.478656036,2356
Shale,4.946543297,666.0497198,,0.242320231,0.721403253,3034
Sandstone,16.98645047,549.9400839,Fault,0.74933518,1.722918973,4982
Sandstone,20.85589379,366.0119972,Fault,0.738382383,2.659536003,3023
Shale,26.3235638,575.6330848,Anticline,0.506880444,2.90032227,1470
Shale,6.844977413,329.6667789,Dome,0.409570902,3.149219483,2095
Shale,2.428612083,128.4955631,Dome,0.37888238,2.528968002,3867
Sandstone,22.2689627,311.8095601,,0.993714808,0.60132811,763
Limestone,26.11901644,625.3173328,Anticline,0.5806458,3.646261347,3172
Sandstone,14.62153325,312.0279037,,0.757033057,2.380473224,2705
Limestone,12.86954796,766.9385328,Fault,0.5620641,0.074898737,2088
Sandstone,19.39801332,897.0970841,Anticline,0.056269944,0.08353046,1848
Sandstone,25.03772858,417.2781448,Dome,0.783722357,4.079195856,603
Sandstone,15.24425156,44.41279005,Anticline,0.641828066,4.203214724,768
Sandstone,20.49979088,60.65119397,Fault,0.279020177,1.094324415,2099
Shale,26.3797339,225.6502167,Anticline,0.9007947,3.505893592,903
Limestone,13.9747726,67.40665708,,0.24702187,1.916181722,3128
Limestone,13.56607437,841.5750196,Anticline,0.232914561,1.790581083,892
Shale,18.91668093,378.7734617,Anticline,0.064166218,1.121110699,1898
Shale,15.89643783,697.9487364,Fault,0.65970294,0.535603925,4451
Sandstone,11.13318273,86.38133469,Dome,0.599595662,1.096335202,1823
Shale,5.780732841,66.06936694,Dome,0.190037815,0.339423559,2871
Shale,26.08818247,9.660420755,Fault,0.70173601,3.875537143,3579
Limestone,0.439413818,924.7090439,Fault,0.98835549,4.902703243,3994
Sandstone,10.07047202,366.4057474,Anticline,0.345474204,0.662720526,1060
Limestone,14.81937447,666.5267673,Fault,0.03159773,3.65635511,2037
Shale,13.36159578,561.2515294,Dome,0.290360913,0.555285664,1670
Sandstone,19.13705624,139.1270785,Fault,0.42415088,1.120932754,2388
Limestone,23.80897243,21.01434969,Fault,0.789341895,3.478026386,1479
Limestone,27.72218967,560.0152671,Dome,0.486164688,4.798201059,4098
Limestone,22.50085236,832.8505404,,0.377818284,3.350812888,1118
Sandstone,9.088355037,226.3543642,,0.389263463,2.258400811,2098
Sandstone,18.56316231,490.3382325,Anticline,0.526725016,4.441047076,533
Limestone,17.67060273,396.9598158,,0.494723498,2.110024029,1612
Limestone,16.55631409,483.9086746,Dome,0.832512169,1.523059073,1858
Shale,21.54305214,191.5635754,Fault,0.161677346,0.979863306,2956
Sandstone,18.83591478,278.5416752,Fault,0.414135143,2.797199558,2089
Shale,24.77753122,863.1080563,,0.044309682,1.204549181,2074
Limestone,29.20182874,169.8031779,,0.686179118,0.337163631,2905
Limestone,24.63427274,128.1652406,Dome,0.106496317,1.480715822,4851
Limestone,14.6961143,70.43926268,,0.947960917,1.375033831,3084
Shale,5.281190465,468.2800856,Anticline,0.782131724,3.225123208,3194
Limestone,17.1488308,774.7757771,Dome,0.877030861,2.817160025,2736
Sandstone,8.701320845,747.2614911,Dome,0.23680177,2.298862716,1198
Shale,25.90924264,730.9534133,Dome,0.281222934,0.435033837,4723
Sandstone,16.62902118,570.9894917,Dome,0.404952486,2.669471113,1431
Limestone,29.54744298,955.073234,Fault,0.203156488,4.450944637,1949
