Rock_Type,Porosity,Permeability,Trap_Type,Seismic_Score,Proximity_to_Oil_Field,Estimated_Reservoir_Depth,Oil_Presence
Sandstone,24.99629064,213.4121246,Anticline,,,3771,0
Sandstone,1.24932067,,Fault,,,806,0
Shale,15.42245762,745.9925767,Anticline,0.774855797,0.415161748,,0
Limestone,,564.774884,Fault,0.920051507,,,1
Limestone,2.798143403,930.4362912,Dome,0.041938014,3.120980504,,0
Shale,20.05514703,,Fault,0.676458234,2.895374442,,0
Sandstone,18.85506511,,Anticline,0.123221012,2.704657903,1006,0
Shale,27.29180514,289.527909,Dome,0.596207963,,,0
Shale,5.002928066,821.3209494,Anticline,0.434295982,4.897416841,3802,0
Limestone,25.51512685,478.6189218,Anticline,,1.092279637,,1
Shale,5.488059639,,Anticline,,3.784223981,1214,0
Limestone,4.119101254,,Dome,0.574533401,1.200311385,1595,0
Limestone,9.172683825,,Fault,0.129636502,0.194850679,831,0
Sandstone,10.5123975,863.6829851,Anticline,0.263521442,2.070277956,,0
Sandstone,27.38362156,538.068101,Fault,,1.721200694,,0
Sandstone,,828.7775275,Dome,0.126309927,,,0
Limestone,16.8345344,,Fault,,2.921632172,3769,0
Limestone,,,None,0.512438674,4.509310892,,0
Limestone,22.50992327,365.5922305,Fault,0.629362564,4.987291644,896,1
Limestone,0.409020717,,Fault,0.569630104,,,0
Limestone,12.23887807,339.1965419,Fault,,3.989951406,,0
Sandstone,8.965714058,,Fault,,,4973,1
Limestone,,,None,0.864053125,,,1
Limestone,22.3925949,433.0149122,Fault,0.608672346,4.2399273,,1
Limestone,2.762962626,,Anticline,,3.338302616,2444,1
Limestone,13.12042717,207.1325397,Fault,,4.261413496,,1
Sandstone,,,Fault,0.410496933,0.360562153,,0
Sandstone,8.954792942,,Anticline,0.656233432,3.02723803,575,1
Sandstone,,28.82192781,Anticline,,,,0
Shale,10.55654503,,None,0.725135223,3.368289271,1865,1
Limestone,13.8783091,588.9371557,None,0.215857901,1.480968151,,0
Shale,16.06240007,895.9584028,Anticline,,,,0
Shale,27.37798037,,None,0.991142774,,2524,0
Limestone,18.80905304,,None,0.332596084,3.503992308,,0
Shale,,253.1787629,Fault,0.668607592,3.492957093,,0
Limestone,23.27616869,653.9818872,Anticline,0.595687735,0.922366051,980,0
Sandstone,14.60253145,,Fault,0.314544495,2.133290204,,0
Shale,19.6076031,,Anticline,,,812,0
Limestone,0.738539515,,None,0.254179074,,,0
Limestone,18.99789605,869.4834951,Fault,0.881471964,0.342967452,1109,1
Sandstone,3.40621927,812.9440964,Fault,0.654349346,4.778220903,,1
Sandstone,13.89598309,132.851015,None,,,2179,0
Limestone,21.63861807,,None,,0.406143141,,0
Shale,18.96057625,,None,0.956165684,,,0
Limestone,22.81272935,,Dome,,,,1
Limestone,,391.4849732,None,0.947852073,1.372145614,,0
Sandstone,9.61460693,,Fault,0.98542035,,,0
Limestone,24.98081239,,Dome,0.973648366,,3685,1
Shale,,626.3071038,None,0.776862353,2.089902038,4114,1
Shale,0.971674133,132.0842674,Dome,0.0078084,1.108320941,,0
Sandstone,28.73736227,,Anticline,0.962905423,,4294,1
Shale,,,Anticline,0.03229365,1.893383457,2291,1
Shale,,,Dome,,,,0
Sandstone,19.56825333,305.574478,None,0.620708226,0.860864844,2068,0
Shale,18.60724063,,Anticline,0.180979578,4.346414615,,0
Limestone,,,Anticline,0.908074403,,,1
Sandstone,12.96639563,402.8705411,None,,4.01132179,,0
Sandstone,,,Anticline,0.632579364,1.289048214,3084,0
Limestone,10.80298892,,Fault,0.053904616,,1387,0
Shale,0.163311276,979.3706743,None,0.10482585,,2379,0
Limestone,3.465175985,120.2812414,Fault,0.450213931,,4405,0
Shale,,,Fault,0.813065949,1.337406929,,0
Sandstone,,,Anticline,0.069636316,,3784,0
Sandstone,1.746525362,,Anticline,,3.580457524,,1
Limestone,0.300312317,,Anticline,0.120525002,3.643945951,3196,0
Shale,13.33882974,,Anticline,0.510098334,3.106775775,,0
Sandstone,19.01390928,190.4058947,Fault,0.479421834,4.447302068,3074,0
Limestone,19.30728668,942.0185271,Dome,0.423845525,4.332489517,2196,0
Limestone,18.32779162,512.9207993,Anticline,,,,1
Shale,27.14885641,105.2422667,Dome,,2.785516829,3971,0
Limestone,2.626459921,790.9122008,Fault,,,1860,0
Sandstone,10.60725371,,Fault,,3.23371293,1089,0
Limestone,24.94622359,602.9233642,Fault,0.71761737,,2282,1
Shale,13.40309503,376.5069708,Dome,0.361977949,,2577,0
Shale,7.496628193,526.0241205,None,,,2086,0
Sandstone,,801.8040709,Dome,,0.404597061,988,1
Shale,21.07920618,19.0198716,None,0.715744039,3.120218652,515,1
Sandstone,10.08480773,212.9491017,Dome,0.30669727,0.051063748,,0
Limestone,,822.6286399,Dome,0.941982886,4.646752622,,1
Sandstone,9.667811815,559.0148483,Anticline,,3.166312056,2410,0
Sandstone,24.73879058,534.2361725,Fault,0.289715398,0.931535871,,0
Limestone,26.73941807,965.17556,Dome,,,,1
Sandstone,,,Anticline,,4.748181018,936,0
Sandstone,,842.6355602,Dome,0.900679387,2.921762013,,1
Shale,15.1905166,311.6993282,None,,0.905320051,4593,0
Limestone,,65.25937354,Fault,0.808740293,2.842641588,4717,1
Shale,8.055147518,675.9242683,None,0.660030111,,3483,0
Sandstone,4.49331395,169.3520716,Anticline,,2.465243231,2823,1
Sandstone,25.21810868,,Anticline,0.731448261,,1676,1
Sandstone,13.02156528,,Dome,0.970417479,0.197918648,,1
Limestone,27.47016697,799.4388561,None,0.073709819,,,0
Shale,,642.9373359,Anticline,0.44633374,3.65056719,1878,0
Limestone,23.9054453,802.3422337,None,,0.509500124,2457,1
Sandstone,7.255145862,,Fault,0.368740427,,,0
Sandstone,29.82244964,715.8472645,None,0.700624358,4.448045137,,1
Shale,,264.6968933,Anticline,,3.329253047,1073,0
Limestone,,600.6527799,Anticline,0.627292968,1.850613102,,1
Shale,21.24365505,960.7673601,Dome,,,2000,0
Sandstone,23.14709178,,Anticline,,,,1
Shale,3.33626242,,Fault,,1.705909557,1289,0
Limestone,6.736784078,847.3689516,Anticline,0.035844152,,2719,0
Shale,,,Anticline,0.299943257,4.658430013,3983,0
Limestone,,,None,0.465312826,1.54437421,,1
Limestone,,546.969529,Fault,,4.047316335,4631,1
Shale,29.83782562,745.7069611,Anticline,0.738976596,3.563561641,1608,0
Sandstone,,,Dome,,0.011264913,,1
Limestone,18.75648375,,Dome,,1.028558797,3876,0
Limestone,22.39088653,,Anticline,,4.631814847,,0
Shale,16.09411174,300.9252288,Fault,,4.855036956,4159,0
Limestone,10.79742109,436.8325923,None,,0.563875142,1935,0
Shale,7.620930534,,None,,1.322522022,4018,0
Shale,4.464261436,404.676449,Dome,0.243057441,,2064,1
Shale,12.07004866,871.6357063,Dome,0.989045414,,,1
Sandstone,10.90936077,,Anticline,0.601534623,4.555128686,,1
Shale,14.18971781,821.2511508,Dome,0.738260681,4.571310031,,0
Sandstone,,,Fault,,,3792,0
Sandstone,22.4813705,,Fault,,3.835856651,3814,0
Sandstone,16.73782335,833.5442468,None,0.138759965,,,0
Limestone,22.44482479,,Dome,0.313324566,1.616141964,1686,0
Sandstone,,433.5345795,Dome,0.710035585,1.243479703,4649,1
Shale,,69.43905977,Fault,0.003961834,4.827310375,2096,0
Sandstone,27.09903382,,None,0.505520119,,3271,1
Shale,23.95452729,382.7327496,Dome,,4.793287073,,0
Limestone,,45.16653319,Dome,,2.876842035,3959,0
Sandstone,,166.375254,Anticline,0.680177351,,,1
Shale,15.39525247,,Anticline,0.84564312,4.192685949,,0
Limestone,9.014662759,763.7876828,Fault,0.858116383,4.607813021,,1
Sandstone,18.84358594,,Dome,,0.130780723,2636,1
Shale,,464.8061346,Dome,0.349911708,3.936591953,,1
Limestone,,,Anticline,0.218906163,0.976365606,1743,0
Shale,,,Anticline,,,,0
Limestone,,,Dome,,3.558480555,,1
Sandstone,1.660493677,,None,0.778284366,,1599,0
Limestone,21.08975178,652.1483033,None,0.914752225,3.503111324,4049,0
Limestone,14.72430904,131.4801493,Anticline,0.395671492,4.275489553,,0
Shale,4.553262296,266.967261,Dome,0.73267197,3.543649093,3581,0
Shale,27.35183545,,None,0.09947215,,1584,0
Limestone,,832.6662023,None,0.142828279,3.94512221,,1
Sandstone,1.321211382,920.3520964,Fault,0.433979351,,2120,0
Limestone,8.142925928,,None,,2.979573975,1770,0
Shale,0.370231382,246.0594123,None,0.045371422,1.824892702,1484,0
Shale,7.95243853,592.0077236,None,,3.990767576,,0
Shale,,213.2023178,Anticline,0.615931072,0.709332931,3888,0
Limestone,13.53579574,95.14611013,Anticline,,2.97134153,,1
Shale,29.57415963,435.2226607,None,,3.907244449,795,0
Sandstone,29.53325861,531.736737,None,,4.001561204,1557,0
Sandstone,15.63521175,,Dome,,,3162,0
Sandstone,24.66684338,131.7454571,None,0.903152511,1.152487588,,1
Limestone,24.06609027,685.118892,Anticline,0.432792924,4.75518696,1958,0
Limestone,5.190716093,865.1289791,Dome,0.11910768,,,0
Sandstone,,425.1475297,None,,0.017322045,,1
Sandstone,22.43515723,341.3447382,Dome,,,,1
Sandstone,12.10877686,15.21399551,Fault,,0.809787492,,0
Sandstone,,,None,0.564367173,,1885,0
Shale,25.59527437,311.8557978,None,0.938412945,2.251557357,,0
Shale,28.27150362,661.6990333,Fault,0.571256902,,2196,0
Limestone,28.13224965,544.7071259,Anticline,0.184788115,2.409303262,,0
Shale,,,Fault,0.05819777,1.90363485,1415,0
Limestone,24.47308214,402.437846,Anticline,0.248318483,4.959283976,3394,0
Sandstone,,424.9394249,Anticline,,4.222696214,,0
Shale,28.23644082,739.6049886,Dome,0.806546608,,2772,1
Sandstone,15.26075822,,Anticline,0.641380311,3.95004508,4365,1
Sandstone,6.595858691,495.0951882,Fault,0.945137635,4.27843684,3347,0
Limestone,19.78072162,600.1044324,Fault,,0.101157309,4880,1
Limestone,10.2289969,,Dome,0.556667686,1.065542121,4432,0
Sandstone,2.765038754,114.4737301,None,,0.064178007,2756,0
Shale,,,Fault,0.561253821,1.481052199,2114,0
Shale,7.601381965,,Dome,0.127443056,1.709450585,588,0
Sandstone,,502.7725897,Fault,0.078018699,1.063460304,627,0
Shale,6.283673085,312.0640667,Anticline,,,2019,0
Sandstone,8.20626087,,None,0.46818098,4.330840559,,0
Limestone,2.112160872,11.35335862,Dome,0.750650259,0.982683687,,1
Sandstone,,42.77980216,None,0.257213679,1.472561277,,1
Sandstone,,,Fault,0.763539735,,,1
Limestone,29.10706033,,Dome,0.287754241,,,0
Sandstone,15.99925087,969.2862083,Dome,,1.634883608,3964,0
Sandstone,13.84568783,294.4681112,Dome,,3.696788025,,0
Limestone,18.33070235,612.4375718,Anticline,,0.794527174,4960,1
Sandstone,0.622740964,,Dome,0.43248,1.646434869,4473,0
Sandstone,,,None,0.426334905,3.789920193,1369,0
Shale,,601.7155075,Fault,0.617638051,0.398785209,,0
Limestone,,554.0915728,Anticline,,2.661976976,4383,1
Sandstone,,,Fault,,,1029,1
Limestone,,438.0519514,None,0.769543546,4.814327849,,1
Limestone,29.97148494,398.7567896,Fault,,3.695063718,3832,0
Sandstone,10.383255,128.2214276,None,0.47235862,2.456750203,1733,0
Sandstone,2.185358926,306.1051204,None,,0.29555555,,0
Limestone,,307.6931827,None,0.745894739,4.579372837,1511,1
Shale,,920.6336172,Dome,,,,0
Limestone,26.9268658,,Anticline,0.24195291,1.040541895,4864,0
Shale,28.78782615,560.0553908,Dome,,,711,0
Limestone,3.961055307,2.366616379,None,,3.753286812,,0
Shale,13.64617328,,None,0.91952528,2.098065107,,0
Shale,,377.3620066,Dome,0.761265836,3.499861849,,0
Shale,11.23947657,853.2587124,Anticline,,,4938,1
Limestone,4.02074683,831.205277,Fault,0.329097759,,2893,0
Sandstone,27.79643342,,Dome,,4.600244282,,1
Limestone,8.710856561,,Fault,,4.425827661,3738,1
Limestone,26.6703657,,None,0.956007925,2.328824617,3562,0
Sandstone,,,Dome,0.269647862,1.40893888,1072,0
Shale,22.82657933,466.9272237,Fault,,,,0
Shale,14.26390819,,Dome,0.992239664,4.742795002,2506,0
Shale,0.47469516,,Dome,,,3975,1
Shale,7.112541256,,Fault,0.685815166,,3248,0
Shale,3.460884039,,Dome,0.456288599,1.434272169,2866,0
Shale,13.76115347,161.2138609,None,0.649095274,,4996,0
Sandstone,,687.1991923,Anticline,0.707160294,4.720642995,,1
Shale,8.440518656,633.3958765,Fault,0.09759754,,,0
Sandstone,20.65072875,587.7870257,Dome,,4.422323268,,1
Sandstone,15.69639165,451.9715806,Dome,0.265878485,,,0
Sandstone,20.81629606,707.9949269,Fault,,0.906457236,,1
Limestone,15.62657348,,None,0.166954006,1.141425311,2178,0
Shale,9.832416777,580.0783057,Anticline,0.612541773,1.095175166,,0
Limestone,20.83961318,672.271942,Fault,0.084390747,,4277,0
Limestone,16.97226078,427.9953796,Dome,0.352953332,0.979253885,,0
Limestone,9.857118982,,Anticline,0.741439952,,1224,1
Shale,14.26157566,259.9808953,Dome,,,,0
Sandstone,7.191272347,275.1080612,Dome,0.742070858,2.072774429,,1
Shale,11.5419773,,Dome,0.832651502,2.370157912,1123,0
Sandstone,,,Anticline,0.049031246,0.232847349,539,0
Limestone,,696.5343629,None,,,2475,0
Sandstone,,822.3889442,None,,,4159,0
Sandstone,29.59462205,,None,0.058264314,2.89768714,1477,0
Sandstone,7.554202982,,Anticline,0.674291506,1.213898911,,1
Sandstone,,960.94325,Dome,0.349808749,1.485654065,,0
Limestone,19.17886418,,Fault,0.025925894,1.307176882,664,0
Limestone,11.84835558,693.9901312,Fault,,0.370239828,,0
Sandstone,,130.1184463,Anticline,0.771146984,,3195,1
Limestone,23.89525559,413.7901772,None,0.290320604,0.678104798,,0
Limestone,29.92554394,,Dome,0.809086316,2.790695494,,1
Shale,6.141583618,226.2319294,Dome,,4.54967224,,0
Limestone,1.827057993,142.7912775,None,,,2090,0
Limestone,2.137749979,521.9671331,None,0.457458042,,1709,0
Sandstone,12.92574826,824.1564088,Fault,0.957235611,,3507,1
Limestone,4.938852848,705.6573282,Dome,0.421357088,4.501697417,,0
Limestone,2.039198995,,Anticline,0.524236657,2.967980675,,0
Shale,,,None,0.569565918,,2246,0
Shale,24.9961307,,Fault,0.200664117,2.348364265,,1
Shale,,,Fault,,4.164591391,,0
Limestone,,831.2084876,Anticline,,1.518064829,2928,0
Limestone,,,Fault,0.270204763,0.095800198,1206,0
Sandstone,,,Anticline,0.19480408,,2683,0
Shale,23.96845686,734.2703462,Anticline,0.524089968,4.296063243,2188,0
Limestone,8.025810907,319.3564786,Anticline,0.498147157,2.266557682,,0
Shale,4.876139624,996.6759359,None,0.963683272,1.264597067,,0
Limestone,,929.2070975,Fault,0.736557982,0.429014811,,1
Shale,24.22608766,,Dome,0.783422302,4.081070773,4310,0
Sandstone,,685.1106067,Dome,0.990356758,4.248877432,3342,1
Limestone,11.90182801,,None,0.592024817,4.944902335,,0
Sandstone,0.767093973,,Anticline,,,,0
Sandstone,7.387324829,339.6549762,Dome,,,,0
Sandstone,21.01295397,121.2200998,Fault,0.377327774,4.87690437,517,0
Shale,12.19255623,,Fault,0.779883586,1.508589359,,0
Limestone,29.32769881,962.3877833,Dome,,4.521404183,1460,1
Shale,,470.8769115,None,,4.032037271,581,1
Limestone,,,Anticline,,0.526034645,3731,1
Sandstone,,,Anticline,0.206953152,,,0
Shale,23.40567805,721.767684,None,,0.748840637,1451,0
Shale,5.736315532,431.8145454,None,,,,1
Shale,,623.8146956,Anticline,0.181747583,1.582312372,,0
Limestone,,,None,0.213835256,0.060689984,1781,0
Shale,3.360351392,,Fault,0.51778817,4.148722188,1674,0
Sandstone,22.01716131,559.6266941,Fault,0.905541661,2.472316633,2794,0
Limestone,3.710725518,,None,,,1078,0
Shale,1.385894496,361.3869973,Fault,,1.155515123,1548,0
Limestone,11.78728007,917.1611207,Dome,,0.520623812,4419,0
Limestone,14.77797016,,None,,1.926291401,4930,0
Shale,5.872380886,,Anticline,,0.586713532,2741,0
Shale,3.663345478,,Fault,,,,0
Shale,6.972121386,,None,0.148887203,2.926478202,1546,0
Sandstone,11.91814419,414.894004,Fault,,1.431001985,,1
Limestone,,625.3944347,None,,,727,0
Sandstone,3.607529597,397.5293543,Anticline,0.98700875,4.879456591,,1
Sandstone,8.636390342,608.9261086,None,0.942646146,,1016,0
Limestone,3.812887207,722.3753488,None,0.595693496,,1468,0
Sandstone,0.835317227,451.6381982,None,,,,0
Limestone,5.770390895,857.4704957,None,0.059272787,0.773062573,,0
Shale,29.9925469,,Anticline,0.326361288,0.994642068,1118,0
Limestone,0.707759033,489.2174622,Fault,0.213563008,,,0
Sandstone,25.87489522,,None,0.372931569,,2806,0
Shale,3.660222407,802.6573555,Anticline,0.852523007,3.958279177,659,0
Shale,5.280742651,327.4143214,Fault,,4.203395556,2458,0
Sandstone,,804.4768125,Anticline,,4.713035699,2230,0
Limestone,,975.0938537,Fault,0.007670799,,,0
Limestone,7.105484118,,Dome,0.224378334,,2754,0
Sandstone,4.817810851,72.08410063,None,0.143676436,1.805527397,3513,0
Sandstone,22.95811572,,Anticline,0.4787199,2.930333463,,0
Limestone,12.47584018,115.3916903,Fault,0.026055553,2.050569416,,1
Sandstone,22.96630109,,None,,4.994612542,,0
Limestone,24.25711602,228.2634,Fault,,,3749,0
Shale,9.448561858,,Anticline,0.014928967,1.735229146,,0
Sandstone,18.23335316,,Dome,0.859703888,4.050026017,1703,1
Limestone,29.03228475,580.2000627,Anticline,0.114657497,,1608,0
Shale,,708.4617519,Dome,0.587004361,3.53061974,1537,0
Shale,9.526637396,456.1607576,None,0.300986509,2.796738063,1098,1
Limestone,4.865121814,547.5141536,Fault,,3.691687679,4575,1
Sandstone,,,Dome,0.004001676,3.968110526,3514,0
Sandstone,4.910269912,943.2910491,Anticline,0.124611676,,,0
Sandstone,3.763253534,,Dome,0.357035343,3.715542566,,0
Sandstone,,,Fault,0.291178168,1.528036291,,0
Sandstone,,,Dome,0.439104447,0.543841158,,0
Sandstone,1.506432951,356.8551059,Anticline,0.73462204,3.58909206,1599,1
Shale,21.88246346,,Anticline,0.102115089,,3563,0
Sandstone,0.2417731,942.2914858,Anticline,0.908593588,1.53477251,,1
Limestone,10.58073361,573.2858929,Fault,0.998020515,4.977234988,,1
Limestone,7.090097708,,Anticline,0.187805317,2.308016084,4544,0
Sandstone,,857.6277685,None,,3.234557038,3580,0
Sandstone,2.925230774,387.6802461,Fault,,0.119947037,2309,0
Shale,2.265998075,,Anticline,0.296446511,0.390143321,584,0
Sandstone,20.41674485,841.6742083,Anticline,,2.307028169,,0
Shale,,973.9038893,Anticline,0.796282438,,,0
Sandstone,10.82418934,655.516971,Dome,,0.844343461,3112,1
Limestone,,906.9894952,Anticline,,4.650243318,3809,0
Limestone,6.197430487,,None,0.801214188,,4763,0
Sandstone,,376.1324698,Fault,,3.369442561,,0
Limestone,24.75746,,Dome,,,,0
Sandstone,11.98974006,759.0147887,Anticline,,1.519540682,,0
Sandstone,6.282530125,800.1916809,None,0.479543927,,,0
Sandstone,7.892400898,,Anticline,0.492984558,4.980235611,4807,0
Shale,19.0781873,,Anticline,0.577534925,2.329775989,,0
Sandstone,9.181414987,843.63569,Dome,0.386186944,0.659611042,,0
Sandstone,8.784386002,,Anticline,0.866115378,2.003670894,,1
Sandstone,,,Anticline,,3.579231222,,0
Limestone,,460.0238177,None,0.394960428,2.551795406,1585,0
Sandstone,10.6109006,955.9141732,Anticline,0.387261812,,,0
Sandstone,29.86532904,828.2314832,Dome,0.096460104,,,0
Shale,12.67618141,,Fault,,,1069,0
Limestone,5.31577503,288.265903,Dome,0.961924758,4.115005874,3698,1
Shale,3.573196076,490.4038506,None,0.262317214,0.968692557,4679,0
Shale,11.16360646,283.7339489,Fault,,2.089971289,4996,0
Sandstone,,,None,0.213220349,0.3445609,,0
Sandstone,9.963293499,,None,0.749839284,0.308748521,2232,0
Shale,19.15631182,,Fault,,0.567268431,3790,0
Sandstone,,,Dome,0.927403676,0.196809709,3725,1
Shale,19.46205417,,Anticline,0.064157862,,,0
Limestone,0.29540475,773.3754522,Dome,0.4414044,4.359904613,,0
Sandstone,16.48285837,,Fault,0.855729084,0.661585079,,1
Sandstone,,341.4759521,Dome,0.878955111,2.195089662,,0
Limestone,17.60244357,695.0942096,None,0.573885867,,,0
Shale,5.843204931,135.5810151,Fault,0.600677923,1.861895942,,0
Shale,13.46336412,806.5964164,Anticline,0.608330255,0.295780478,,0
Limestone,20.09263354,495.1031729,None,0.146225749,,1575,0
Limestone,26.05232364,,Fault,0.565994838,0.127161707,630,1
Limestone,21.16688135,429.136048,Dome,0.016080086,0.830911422,,0
Sandstone,,491.7475372,Fault,,1.970849753,,0
Sandstone,25.25950584,,None,0.320172291,,,0
Shale,8.353726391,,Fault,,3.378549429,,0
Shale,26.01532063,285.3897176,Fault,0.468516228,,2301,0
Limestone,,326.5041899,Anticline,,,2780,1
Limestone,18.79975917,,Fault,0.159159032,0.430019489,3782,1
Shale,4.169069757,554.2864519,None,0.693526427,1.362241096,4916,0
Limestone,12.60012222,,Fault,0.149725564,4.617033032,2095,0
Limestone,8.772452517,,Anticline,0.060816312,1.28219053,3023,0
Shale,29.75678572,695.8089316,Dome,0.239143023,4.919388097,2790,0
Shale,0.824116875,160.8029546,Fault,0.368030053,4.767254782,,0
Limestone,2.244636156,,Anticline,0.007651246,,3666,0
Shale,2.75953532,407.3173799,Fault,,3.62811239,3381,0
Sandstone,23.18641732,300.4297552,None,,,1596,0
Sandstone,15.87802344,,Fault,0.088935245,0.229532576,2736,0
Shale,4.875469343,6.629125102,Fault,,3.990762037,,0
Limestone,18.82403696,520.4995267,Dome,,,,0
Shale,15.10859814,626.9984698,Dome,,0.430130769,1964,0
Shale,4.410448647,99.28710701,Dome,0.80267122,3.965876033,4534,0
Shale,23.74390623,,Dome,0.001433399,1.315756184,4596,0
Limestone,27.50826145,797.1508078,Anticline,,2.927241457,3225,0
Shale,2.29867206,,Fault,,4.998872388,,0
Shale,9.493637296,143.4137009,None,0.882092979,,1389,0
Limestone,15.26655766,,Anticline,,1.812145853,2025,0
Shale,13.83500704,,Fault,,2.579010508,3583,0
Shale,,598.3130813,Dome,,1.602549776,,1
Limestone,7.488741132,26.3123153,Dome,,2.98927638,1321,1
Shale,,,Anticline,0.67970152,4.234178899,4670,0
Limestone,,675.7290327,Fault,0.809127225,1.341439254,4706,1
Shale,18.93351084,643.3699672,Dome,0.210916556,,513,1
Sandstone,8.047510768,,Fault,,2.951582682,,0
Sandstone,29.57304749,79.82292766,None,0.481431203,3.988532867,1697,0
Limestone,14.67681764,976.513544,Anticline,0.434989239,3.981068845,4888,0
Shale,1.228545964,322.7101738,None,,,3058,0
Limestone,,862.2419694,Dome,0.949694181,,2129,1
Shale,27.92472225,147.6548301,Anticline,,2.150117937,523,0
Limestone,22.44317004,,None,,0.037006697,,0
Sandstone,,757.6447961,None,0.242798265,0.996261866,2390,0
Shale,,133.5112306,Fault,0.240537893,1.257656952,4166,0
Limestone,8.441789465,,Dome,0.603313904,2.065135558,,1
Sandstone,3.468168318,,Anticline,0.103814913,0.400716777,769,0
Shale,27.89806782,300.6739342,Fault,0.563946128,0.009686546,4365,0
Shale,2.472998161,,Fault,0.603008272,,1380,0
Limestone,15.94437739,,Fault,0.089797266,0.392588631,,0
Shale,,209.1185908,Anticline,0.890815147,,,0
Shale,25.65235158,935.3348924,None,,,1097,0
Shale,21.47207779,,Anticline,0.505804623,0.480263598,,0
Sandstone,7.307133776,956.6142866,Dome,0.852374097,1.371935451,1447,0
Limestone,,,Fault,0.203029665,,1162,1
Limestone,14.40270427,299.8170155,Dome,,,1417,0
Shale,5.218826631,318.228112,None,0.056841951,4.732529977,4413,0
Sandstone,9.771066347,402.1147379,Anticline,0.138737911,,4448,0
Shale,11.48649442,487.3202699,Fault,0.497638212,,4036,0
Limestone,17.99657364,,Fault,0.526765171,3.908786951,2397,0
Limestone,,,None,0.451511839,,1477,0
Sandstone,24.36978541,411.8411461,Anticline,0.687173693,4.578819321,,1
Sandstone,27.51230338,537.0922754,Anticline,,4.006098457,,0
Sandstone,,729.6966679,Fault,0.546368491,4.196180741,2354,0
Sandstone,22.72645179,,Anticline,,2.984998566,4966,1
Sandstone,6.233713941,447.4688721,Anticline,0.450554048,4.069624381,2367,0
Sandstone,1.51790561,,None,0.062267642,1.073957991,,0
Sandstone,,,Dome,0.080941134,4.199955978,,0
Limestone,24.65257251,194.3498299,Dome,,,,0
Sandstone,0.953354531,753.0642091,Dome,,0.752902471,1043,1
Limestone,25.74416775,981.7028214,None,0.896508235,0.507282361,3563,0
Shale,12.93631455,,None,0.367531948,0.153178461,,0
Shale,1.056455206,,Dome,0.148982758,,1537,0
Limestone,10.11800688,129.8751708,None,0.078468612,,,0
Limestone,13.69240319,856.5866016,Dome,0.522515627,,4442,0
Shale,14.76163468,506.0802454,Anticline,0.288943418,0.092007773,,0
Sandstone,24.00457945,,Fault,0.566250868,3.749643096,,0
Limestone,,659.2078003,Fault,0.460979787,4.066274756,916,0
Shale,,,None,0.553398195,0.558765019,4982,0
Shale,9.398280334,603.5856346,Anticline,0.555469621,2.344102622,1887,0
Limestone,11.03552084,,Anticline,,4.884082046,4435,0
Limestone,2.798935664,,Anticline,0.589256073,4.326227854,,1
Shale,,759.2929581,None,0.083270881,3.17701692,2756,0
Shale,,,Dome,,1.631547409,1508,0
Sandstone,8.977452578,845.4918853,Dome,0.246705407,0.864724209,4587,0
Limestone,,594.0196034,Anticline,0.466065784,0.498450183,1982,0
Limestone,12.86653168,46.99911488,Fault,,,,0
Limestone,6.233118883,313.8479817,None,0.67320541,3.533369445,3628,0
Limestone,21.67234153,327.9230576,None,,,4726,0
Shale,21.63673402,231.3200984,None,0.517251825,3.129399165,4749,0
Limestone,,225.7250938,Fault,0.768081407,4.615160854,747,1
Limestone,20.50361332,140.1573927,Anticline,0.890312491,2.959862964,4305,1
Limestone,,991.7077616,None,0.324453422,3.89795548,4279,0
Sandstone,24.09111482,,Anticline,0.561663337,0.593777921,1076,0
Sandstone,13.97047625,512.927329,Fault,0.267184517,0.763178957,,1
Shale,,786.5065997,Fault,,0.786317236,1665,0
Limestone,29.42958908,,Fault,0.577695588,2.221772451,,0
Shale,3.083047279,145.9656247,Dome,0.881009669,2.860168831,,0
Shale,1.126569602,,Anticline,,1.430500187,3706,0
Sandstone,,964.4190354,None,,0.833565558,,0
Shale,,,Anticline,0.578094907,3.552430341,4906,0
Limestone,7.9341545,251.907243,Dome,0.081089628,,,0
Shale,,731.4826062,None,,,1012,0
Limestone,,484.3774889,Anticline,,,3669,0
Sandstone,22.88680007,441.3250356,Fault,,,2034,0
Limestone,0.316533674,678.9707877,Fault,0.04908875,,2237,0
Sandstone,,148.5985781,None,,0.642958706,,0
Limestone,25.42920989,530.8024233,Fault,0.884457476,,1903,1
Shale,14.98646104,470.7601566,None,,1.927419454,2722,0
Limestone,29.52094543,526.9929283,Dome,,0.006172623,,1
Limestone,10.2328295,,Dome,0.115162401,2.647790637,,0
Shale,,119.0373944,Anticline,,4.197335483,,0
Limestone,,,Anticline,0.578253845,4.307640651,510,0
Shale,21.66648296,747.4269964,Anticline,,,,1
Sandstone,,176.0271606,None,0.921526856,,4100,1
Sandstone,27.97608257,,Fault,0.203553456,1.60046549,,0
Shale,,446.0132297,Fault,0.834995022,4.712257224,,0
Limestone,21.74793593,715.5062546,Dome,0.626387796,,,1
Shale,28.3198772,,None,,4.072925668,,0
Shale,,53.19333812,Dome,0.259711104,,,0
Shale,13.00391099,154.8340023,Dome,0.149186034,,2811,0
Shale,29.04336709,40.11139373,Fault,,3.1888136,3597,0
